Title;Link;Published;redirect;redirectLink;articleImage;articleBody
국제교육원, '2023년 방학집중캠프(3기, 4기)' 운영 - 청주일보;https://news.google.com/rss/articles/CBMiO2h0dHBzOi8vd3d3LmNqLWlsYm8uY29tL25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz0xMTEwODkz0gEA?oc=5;2023-07-24 05:14:45;True;http://www.mediatoday.asia/844423;//tr.xza.kr/imgdata/tr_xza_kr/202307/20230724132946-24246.jpg;▲ 대구달성교육지원청, 2023. 달성 진로내비게이션 캠프 실시 [미디어투데이=안상일 기자] 대구달성교육지원청은 7월 21일 관내 중학교 1학년 학생 50명을 대상으로 2023. 달성 진로내비게이션 캠프를 대구테크비즈센터(현풍읍)에서 실시했다고 밝혔다. 미래기술 기반 신직업창직 진로내비게이션을 주제로 한 이번 캠프는 달성 관내 처음으로 캠프 형식으로 실시된 진로몰입교육 프로그램으로 신선한 주제와 새로운 형식의 진로몰입캠프였다는 점에서 학생과 학부모로부터 좋은 반응을 얻었다. 이번 진로내비게이션 캠프는 ▲미래기술 탐색 게임, ▲미래세상 설계도 제작, ▲AI로봇 기초 코딩, ▲미래기술작품 창작, ▲미래 신직업 창직, ▲신직업 박람회 등 다양한 프로그램을 통해 학생들이 자신과 미래 직업세계에 대한 이해를 바탕으로 자기주도적인 진로를 설계할 수 있도록 도움을 주고자 마련됐다. 캠프에 참여한 한 학생은“진로를 진지하게 고민해보는 데 큰 도움이 됐고, 미래 신직업에 대한 작품 활동과 박람회를 통해 다른 학교의 친구들과 다양한 아이디어를 공유할 수 있어서 좋았다.”고 말했다. 이두희 교육장은 “우리 학생들이 자신의 진로에 관심을 갖고 미래의 신직업에 대한 다양하고 깊이 있는 정보를 얻을 수 있는 뜻깊은 프로그램이었다. 앞으로도 학생들이 저마다의 꿈을 향해 나아갈 수 있도록 지원을 아끼지 않겠다.”고 말했다.
[미디어투데이] 대구달성교육지원청, 2023. 달성 진로내비게이션 캠프 ... - 미디어투데이;https://news.google.com/rss/articles/CBMiIWh0dHA6Ly93d3cubWVkaWF0b2RheS5hc2lhLzg0NDQyM9IBAA?oc=5;2023-07-24 04:30:00;True;https://www.inews365.com/news/article.html?no=773992;https://www.inews365.com/data/photos/20230730/art_16901724708489.jpg;"제천시 청풍관광정보화마을이 여름방학을 맞아 재능기부로 운영 중인 '청풍 영어몰입교육 캠프'. ⓒ 제천시 ［충북일보］ 제천시 청풍관광정보화마을이 여름방학을 맞아 재능기부로 '청풍 영어몰입교육 캠프'를 운영하고 있다. 제천지역뿐만 아니라 서울, 김해 등 전국 각지에서 참가 신청서를 제출한 초·중학생 50명을 대상으로 지난 17일부터 오는 8월 4일까지 3주간 정보화마을과 청풍면 행정복지센터에서 강좌당 5명 이내로 수준별 수업을 진행하고 있다. 이 '청풍 영어몰입교육 캠프'는 어윤재(전 의림여중) 교사 등 전·현직 교사와 교수, 대학생, 원어민들의 순수 교육 재능기부로 무료로 운영된다. 영어몰입 캠프에서는 학습자들이 영어에 빠져들게 하는 교육뿐 아니라 정보화마을에서 운영하는 다양한 체험을 통해 청풍지역의 농가의 소득 증대에도 기여하고 있다. 정보화마을 관계자는 ""앞으로도 다양한 체험 상품개발을 통해 마을의 소득 증대와 주민의 삶의 질 향상에 기여하겠다""고 말했다. 한편 청풍관광정보화마을은 지난해 정보화마을 운영평가에서 행정안전부 장관상을 수상 한 바 있으며 명품 정보화마을로 발돋움하기 위해 노력하고 있다. 제천 / 이형수기자"
청풍관광정보화마을 '청풍 영어몰입교육 캠프' 운영 - 충북일보;https://news.google.com/rss/articles/CBMiNGh0dHBzOi8vd3d3LmluZXdzMzY1LmNvbS9uZXdzL2FydGljbGUuaHRtbD9ubz03NzM5OTLSAQA?oc=5;2023-07-24 04:21:15;True;http://www.ggilbo.com/news/articleView.html?idxno=985045;;
제천 청풍관광정보화마을, 여름방학 '영어몰입교육 캠프' 운영 - 금강일보;https://news.google.com/rss/articles/CBMiOGh0dHA6Ly93d3cuZ2dpbGJvLmNvbS9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89OTg1MDQ10gEA?oc=5;2023-07-24 02:19:00;True;https://www.newswire.co.kr/newsRead.php?no=971044;;
스킬소프트, 한국형 프리미엄 블렌디드 러닝 브랜드 '스킬파트너' 론칭 - 뉴스와이어;https://news.google.com/rss/articles/CBMiMWh0dHBzOi8vd3d3Lm5ld3N3aXJlLmNvLmtyL25ld3NSZWFkLnBocD9ubz05NzEwNDTSAQA?oc=5;2023-07-24 01:00:00;True;http://www.globalnewsagency.kr/news/articleView.html?idxno=298699;;
제천 청풍관광정보화마을 ‘청풍 영어몰입교육 캠프’등 체험 프로그램 운영 - www.globalnewsagency.kr;https://news.google.com/rss/articles/CBMiQWh0dHA6Ly93d3cuZ2xvYmFsbmV3c2FnZW5jeS5rci9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89Mjk4Njk50gFEaHR0cDovL3d3dy5nbG9iYWxuZXdzYWdlbmN5LmtyL25ld3MvYXJ0aWNsZVZpZXdBbXAuaHRtbD9pZHhubz0yOTg2OTk?oc=5;2023-07-23 21:15:00;True;https://www.cj-ilbo.com/news/articleView.html?idxno=1110882;https://cdn.cj-ilbo.com/news/photo/202307/1110882_1028589_1036.jpg;【청주일보】 박창서 기자 = 제천시 청풍관광정보화마을(위원장 박명민)은 여름방학을 맞이해 재능기부로 ‘청풍 영어몰입교육 캠프’를 운영하고 있다. 제천지역뿐만 아니라 서울, 김해 등 전국 각지에서 참가 신청서를 제출한 초·중학생 50명을 대상으로 이달 17일부터 내달 4일까지 3주간 정보화마을과 청풍면 행정복지센터에서 강좌당 5명 이내로 수준별 수업을 진행한다. ‘청풍 영어몰입교육 캠프’는 어윤재 선생님(전 의림여중)등 전·현직 교사와 교수, 대학생, 원어민들의 순수 교육 재능기부로 무료로 운영된다. 영어몰입 캠프에서는 학습자들이 영어에 빠져들게 하는 교육뿐 아니라 정보화마을에서 운영하는 다양한 체험을 통해 청풍지역의 농가의 소득 증대에도 기여하고 있다. 정보화마을 관계자는 “앞으로도 다양한 체험 상품개발을 통하여 마을의 소득증대와 주민의 삶의 질 향상에 기여하겠다”고 말했다. 한편 청풍관광정보화마을은 지난해 정보화마을 운영평가에서 행정안전부 장관상을 수상 한 바 있으며, 명품 정보화마을로 발돋움하기 위한 노력을 하고 있다. 트윗하기
청풍관광정보화마을, 다양한 체험 프로그램 운영 - 청주일보;https://news.google.com/rss/articles/CBMiO2h0dHBzOi8vd3d3LmNqLWlsYm8uY29tL25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz0xMTEwODgy0gEA?oc=5;2023-07-23 21:12:55;True;https://www.chosun.com/special/special_section/2023/07/24/OYVHL27XNZH7NE6HC2BW4GGCBM/;;
국내 최초 ‘메타버스’ 개념 도입, 반도체 가상현실 실습 - 조선일보;https://news.google.com/rss/articles/CBMiVWh0dHBzOi8vd3d3LmNob3N1bi5jb20vc3BlY2lhbC9zcGVjaWFsX3NlY3Rpb24vMjAyMy8wNy8yNC9PWVZITDI3WE5aSDdORTZIQzJCVzRHR0NCTS_SAWRodHRwczovL3d3dy5jaG9zdW4uY29tL3NwZWNpYWwvc3BlY2lhbF9zZWN0aW9uLzIwMjMvMDcvMjQvT1lWSEwyN1hOWkg3TkU2SEMyQlc0R0dDQk0vP291dHB1dFR5cGU9YW1w?oc=5;2023-07-23 18:02:01;True;http://www.eduyonhap.com/news/view.php?no=75057;;
경기 성남외고, '2023 Summer Camp' 개최 - 교육연합신문;https://news.google.com/rss/articles/CBMiL2h0dHA6Ly93d3cuZWR1eW9uaGFwLmNvbS9uZXdzL3ZpZXcucGhwP25vPTc1MDU30gEA?oc=5;2023-07-23 03:56:00;True;http://www.thesegye.com/news/view/1065576804192208;;
대구경동초, '한여름 밤의 디지털 플리마켓' 실시 -  세계타임즈;https://news.google.com/rss/articles/CBMiMmh0dHA6Ly93d3cudGhlc2VneWUuY29tL25ld3Mvdmlldy8xMDY1NTc2ODA0MTkyMjA40gEA?oc=5;2023-07-22 01:33:55;;;;
